"id";"mid";"owner";"start_time"
13012;1002107;"50f7a1d80d58140037000006";"2024-06-21T05:51:50.000Z"
11689;1003093;"54d2c6ba109f7d0029000180";"2024-05-02T03:24:52.000Z"
4068;317;"50f7a1d80d58140037000006";"2020-07-14T04:46:23.000Z"
4452;317;"50f7a1d80d58140037000006";"2020-10-20T05:28:16.000Z"
4050;318;"50f7a1d80d58140037000006";"2020-07-03T03:33:16.000Z"
4082;317;"50f7a1d80d58140037000006";"2020-08-14T14:24:07.000Z"
4098;317;"50f7a1d80d58140037000006";"2020-08-16T15:39:35.000Z"
4109;317;"50f7a1d80d58140037000006";"2020-09-01T14:49:08.000Z"
4052;318;"50f7a1d80d58140037000006";"2020-07-03T04:04:05.000Z"
12366;308;"nodejswpsserver";"2024-05-24T02:05:45.000Z"
13411;1000100;"54d2c6ba109f7d0029000180";"2024-07-20T10:30:16.000Z"
13407;1003093;"554ae8abb4ec7fd017001796";"2024-07-20T08:17:34.000Z"
13401;1003096;"554ae8abb4ec7fd017001796";"2024-07-19T10:00:06.000Z"
13409;1000100;"54d2c6ba109f7d0029000180";"2024-07-20T10:23:02.000Z"
13406;1000100;"54d2c6ba109f7d0029000180";"2024-07-20T05:38:29.000Z"
13408;1003093;"54d2c6ba109f7d0029000180";"2024-07-20T10:22:40.000Z"
13426;1003093;"554ae8abb4ec7fd017001796";"2024-07-21T07:25:48.000Z"
13427;1003093;"554ae8abb4ec7fd017001796";"2024-07-22T01:56:49.000Z"
13428;1003093;"554ae8abb4ec7fd017001796";"2024-07-22T02:25:25.000Z"
16238;1003077;"50f7a1d80d58140037000006";"2024-10-29T03:39:03.000Z"
13435;1003093;"554ae8abb4ec7fd017001796";"2024-07-22T09:16:06.000Z"
16478;1000186;"50f7a1d80d58140037000006";"2024-10-31T09:29:11.000Z"
4416;317;"50f7a1d80d58140037000006";"2020-10-15T10:19:13.000Z"
4414;309;"50f7a1d80d58140037000006";"2020-10-15T10:16:16.000Z"
